Codigo QR;Perfil;Medida (mm);Cant. por torre;GlobalIds IFC
102/103;2½x2½x6;5715;4;0d0WzzCRH0gPEtRML2T7Bs 0whEG1dc11r9BWaP7XKqYT 3kcXDda4H3_hXk6Jd_MKXi 0u6PFytQb51Rp$pz9b0JvT
104/105;chapa 25.0;170 + 1660 + 170 + 1660 + 1660 + 1660 + 250x250x25.0 + 250x250x25.0 + 250x250x25.0 + 250x250x25.0;12;2HDD8V6j93eg3nut2wwupd 2HDD8V6j93eg3nut2wwuWI 2HDD8V6j93eg3nut2wwuX1 1_dZYerrn3K9UwkkUeDbdE 30OiazYdXBpvaLiIC9giAl 2NlJ$vwmL30QUG6D4TJCeu 0nKKAKncP8oxY1Y0PL$$oh 2BUSJ5KDj5VAg_$sI4Zeu8 2HLQDelxf8hgGGJ6O1ia1N 0kzrSDdQnBBetjmeDSsS3i 10taFq4pPB5OifHkQ$bkY_ 0MWghZprLECB0_$YlCuTpr
106;2½x2½x4,8;378;4;0C$EzbdEz6HwQI7BLqhxCq 0Z_916vn95PPR4n$Y_pII0 09W3lyyz1CDvkJlflnHBsv 1niuE1hG59Zx0wnc_6tY$i
201;4x4x9,5;120;8;3_JGg4ZRb4KOh5QTeXvKAT 3KbpLB2Ur5JebzGVGquQjj 2281GBy9j4SwQ_lQb0z3XV 24skHZM1DC7xfMD2qYEoEe 0C5M_YI3PClw_zkwMWaW0L 3fjoi9ckXBTgCf9dkhBR6G 3Dip5YDML0teUOoZ8B0YHq 1gusdeU3H8DBBVszHgIUnW
203;4x4x9,5;131;4;2PbFHJw1D38u02G005eHyP 3LoxO2hRjEWRgHXzZmevvM 16R3jWg4f58e0ROS1$E7K8 315x_ExdTD2x87q5$9ATSj
301;UPN 152;1000;2;1_yOjNImbCgfYLQVsrtlh0 0x3OQgQSn6nAKEIDvQXPP7
302;UPN 152;1141;1;2IZxno9Un6iu5jpZ6CnK6L
401;2½x2½x4,8;129;4;2hpf__h3b4fxmX9JZdKDx1 0SueUP_Aj4TfzjofhBsprd 2T9bqY35bFGwAKq0837uhQ 2F3b62Grz8u9UG6tGFlPWj
501/502;2x2x4,8;1810;8;2NfTMUnKDEjwhstp4eiT3i 2hwiVd22v7Cg3Z6_BUjWDP 1Rz5ZGbgDEqAk3bcI0ekJ2 2fChV5Scr0dPWd7HfG_v83 2v8WZNEt1EPwwuwT5f_G7w 3GgsU4pCPD1wVLQk9GkWxW 3UTI4yvtv87ehDeclOHjs3 04FcjG00H1Rhb5xCqLedhB
503/504;2x2x4,8;1805;4;1wVgQRlFXFthCtTMr4aVVa 1W7LWo12f8sO_blonj_uVV 2tJkf_G2TBDRkRyw0NOkg9 0BjMcFxZj5xxOGiRI5qWDA
507/508;2x2x4,8;1720;4;3EjS6HB8bAMxhL4IylUT4X 0q3mHV015BoReHJLsf5WYB 3uz4OiN7X6ZvBCBNj5YRAn 1oQGI6Ts14exbBve4V$KDn
509/510;2x2x4,8;1570;4;0LhWWVYG1Eyu$UN133ICUj 2paqGbLKT4oAHVEJhyVPVV 1bzseeT7D8LBJ2FcQsoUR4 3fG7PJNyf6PhbBnLyXFCcK
512/506;2x2x4,8;1800;12;2ZAZt9PnT3nhXuMoPFp4SB 0cqjzbHwDBCuEEus3wHoqC 32OSoSxKrAjv657gnyRwFI 0SgQTIKTv5Fe419YPKaayV 11JuW8aDH2CuV_gn2POe6A 38PgEJMT11CPFSWKFQrmB0 1LpJJQCST2wOXLgwreM8n8 3ZPsULXBv3uh9_rJHtFJ$I 08u0kSLNb76hAImeI$lIOp 1GOPcQqnP5pwtVUanlTdjB 1nOsYD9Lv6YfknxxstM4J6 27StazFUnCNRRjLiWZekWs
513;2x2x4,8;1020;4;1BKo1dJO90L9Bvm$pLuWq_ 36sj0Vn0D8TOQ2QIEjR8mK 0zVgB3JCv7pwVUiNxPNzk2 0Aend0opfD7xEcXd0_7oQx
516/517;2x2x4,8;900;4;3ScSXudIvCmu4dzWtqfOES 2WOhipxLv5O9OAdCCSDNRF 18bcmKZ1D6xvCEeCDo07Wn 3z0Fcy215EvefsENvD$DSJ
518/519;2x2x4,8;885;24;1OnVhwiwH2XAKRpMctsr7e 2ZD3w4f$b6L8kDtAC__aDH 3U5MXV8sL2ngB$_KyoU8aV 116Xdt5h5FYgXS29dIy0Pw 0nZMJ2pCz0hPl9iPvWfHLw 0RPi7NkIrFBBtmY5u4DIBq 3lCJXgVAX8FesxMzDPUQr8 1YRN413_TCVBgyKUfJIKow 0$bgd2iPXA1RpJ4pQNap$o 3rHIIqrjv7agxuvxpxeotx 3IgJlA7jDCShJqZ09LU9fx 2n2$f0fQPBr8i3xX3fWO7b 2ThQ5K$nvBbhBtEe6pZRH1 2mFv8RoND83uzlA7gsDru1 3KjhzfLCjCaP3LWwFnwbDI 03xnJkCEnFlhSJPVYies_u 2Z_7neqXrEe9QvkcLuWW4R 2TMAFHa9v3jhaCD_5dVmAx 30uXh_SAjFQh43XJ28J4OO 2UjVzyO5XEshOsZG1jBTWR 3v56mQBaT1MfyRsg7_uHCP 1h0F3f9gXCRvIQQQLVXb9B 1HHQHq6LP71wDtEd7g8TLK 2wGz5FJqrBZvBxm$h9vLgQ
520;2x2x4,8;810;4;20RgBweSv0Ux81LQKonVNG 2AunRs0$n9pwC434BnqUoJ 2Ouu5FaAzDkgJ6tWD6N9MB 2560RoHzP83hcAuhcajoU8
521;2x2x4,8;800;4;03Zo$TAkL9svOmItqjcHD3 1xBK8qNrH41R02p6B65pUs 2DaQvCcGP2Y8EZwHsfUuCQ 1W7ylWHt93WPerMHe_Yb1R
523;2x2x4,8;785;4;3htSU2RG5D5QgaC9c4IraR 0HN7sLOTbB6BiUJsOgJSs7 2wHBKibLvA8xHAmS$jbVF3 25acLdTNv8xwwkn4B_YPPW
524/526;2x2x4,8;500;8;1dmZEDYLj7xBdWjncGUcE$ 1U$Hj_pUTBGO4NHZXYe$cb 3KeTxrKaXCOvz4lwjsZ$eb 0LpOZUkwD6XQ2CVoSNwVBq 3iXYdJbSL1NAUCDXtiFSuN 2fy_mCK0H1sA_6D8hnMGGg 3K37Br4ULEBfDY6uy5alDz 32H68W0HT3MuRiNc_jtYcM
528;2½x2½x4,8;780;8;3aT1DnFhn90BHWkxQfCjyy 1brUik4x524hIYGUUYiTqK 38mV4kJkr4VOeAShCn$_a9 3w0M3dgLn0Lf9InNi2h1V7 0d5MDQZjv1cgtfUhSyNaUB 0Uum4liKX5ouFGDji55XkU 3oTxkayWb6HxTJWS6lHho5 0P1SrXUbD1egNH5g40ZyJb
601/602;2½x2½x4,8;2969;8;0mlzm_1gv5_uXXp7a$90uy 0EYKWEcx9ECPdM09hVG$$0 2wQoLD6CbB6e5Y85AEGnct 3YvaFslbf8aRmsM9jBinZG 2m6oi2_B18U9VqEt8KZ2yQ 1ShV9Ef316UBmhlnysTibT 1QMtnFPf5FueIP078Su$hs 3Zk3Qc9_bASQex_rbr3YuX
603/604;2x2x4,8;1340;2;33rI_nFdn8$RwOb2ql9YQD 2Gidk44g929PtYf2vqqHfI
605/621;2x2x4,8;1310;12;0svQJyLaD3zwd8TWL_LVAo 1c8An2pfT9pgw3qn60Xehs 2ot6C_4OPCePrYFBFTx4IJ 26oC6mUUr7PAoanI45YyZX 3gJG0gc893kRrHJsBFxvV3 0TZjqCPY54bBAgaiY4LJ15 1NaxWINNj7fhLm_dicstLz 2koOEzq4n03ungFM9ZbgS8 2pFz1TAhfD0R6bb8j4GdzQ 04U4XMgUH5Fg6ZCp1QzVxA 06hIRdL392TPnuH6siVXqT 35bI7HMA94Lx7iu2BssaCM
607/608;2x2x4,8;1300;8;2obwCUG7TAhu84KLP3Hoex 1Ql3UOvBj9CusxoqD33SsC 0WxWUgxJT9Te59e4vfGgM1 1cvPYLNBLF4gbHRsyfGnsy 2PuVEro_n4OAtITgj9jUOJ 3l1ppVU4X1Ix6NlBWMothT 2a9FuJ2YX3v9NLjJo5ndrv 30DmDwR4vDWRDIwLKRi5Sg
610/612;2x2x4,8;1280;4;1h8l6il7vDFueIv$UkdSOm 1XTDTEzx57EuKFO172bJTJ 0bxpjwm0HBKBsLqNHWTYvs 1B61gXxKH4i9eqlyh5t_KP
613;2x2x4,8;1000;2;2yQ5JAhanDKO2JC516plRw 2c87ReU2rB59f4I2jvqQG4
614;2x2x4,8;980;4;3y3aA8fwHFeh1fZpI9Yo12 3Obtq_Yg5BJAojYVS_a29Q 1YrN6HpEr4RBH4whE7P2pe 0CqVdWkwj1_ePCutbW1uX1
615;2½x2½x4,8;1462;4;3ZeNcdBxD1twrFNfSNcnU2 0mJTCw_qj8$8ze5DilXoeb 0B1vzAo614YuwkTBOJTQFS 2tmznXv_HDm9pooDgPE7cz
617;2½x2½x4,8;1000;2;3HJJR68LvDoe8c_fTz5XH$ 3EB7qADyj8Vfes$E$1WD9s
618;2½x2½x4,8;980;2;2QpB0mf4P3xBRe8$OhZ5uF 38RvYQWCfDOx5sNiWhJBa5
620;2x2x4,8;1285;2;2buvZMAsb02fSwxPYu9P7k 3JaOVgRdX7OvD9LSsaKDbK
701;2½x2½x4,8;975;2;2qRreDJMDFLOlIuk2P2iN7 0zCzDG1nT7C9MuWFa0HjFp
702;2½x2½x4,8;969;2;2JodZ28yb4Wxz4cF1wfLIz 0foP32UCnDoAGavk0mupFD
801;chapa 4.8;220x134x4.8;8;29d2sz7Gj4JROkuCzT$xuE 0hFlhk2Hf2sxBlWlQzuNEh 2RqKamlMX1o985tSLS_gud 1CrEB86Cb0txRLHwMkfjf5 1SEbKSXyTFXRAyOv$xNfeo 3i0eW2xgbElAqd3OohciY_ 05inC2H3H3jQhU6FZiNeA0 26R6yILtvDaRWX8xxaJnp6
802;chapa 4.8;378x56x4.8;8;39uzT0Acb55P8TbsTnAucf 3PWwFab9982vAL19fTCe_a 07dVuDw959RhWuwyFrE$c_ 2CiwaKpKfBceR3Uk_CiBbN 1JKRWWqq11YPq6hwiACd4N 0MwcsjClP4PRhC6wTR9uFC 10ggs4MjjBU99Wt4e1U8_n 2ppUIUE4LD4ugQuDlhXFO1
803;chapa 6.3;139x122x6.3;4;2vvrMtz6131v3yKnmwTJRv 0wXacQrHz9EgkNXGK3pVEA 0xUMCzqaT1Y8NPXl6qeJhQ 3uKfxaCkv6EQKoqKcRmXOY
804;chapa 6.3;386x122x6.3;4;3WEM6EiiT8_QsqkhiMIdnE 2EAoGPARv8bfmR9mkyCXjO 0IwlEWyTL3C90EyGRNanPW 3qatFUjCH5u8nolXYTV$SL
805;chapa 4.8;198x182x4.8;2;0aGwcdON9AKx6vG5EerGSM 3_7Q0repH0LPs0xk6NamLt
806;chapa 4.8;160x117x4.8;4;3zrG_fWvXDAxi64HOWsuuu 053pWhGHr8OhjlEU2Qn5cK 2_5aCj9DzCfQntICrsefKU 2t9k9HUwfAbgXGbppe3$c3
807;chapa 6.3;800x65x6.3;2;2bFVRoFfv8ww4q1ye8ets1 0iCZqbw3fBARu3d0Ld4bsV
SIN CODIGO;chapa 6.0;100x70x6.0;2;19CVxYAxj2DfTR81A9w_zr 0SRFunko12MBQLAigr0zIE
